ZINC_ID,Binding Affinity (kcal/mol)
ZINC000000000797,-9.4
ZINC000000000797,-8.4
ZINC000000000808,-7.3
ZINC000000000808,-7.0
ZINC000000000833,-6.8
ZINC000000000833,-6.8
ZINC000000000833,-6.5
ZINC000000000843,-7.0
ZINC000000000843,-7.3
ZINC000000000843,-6.6
ZINC000000000843,-7.1
ZINC000000000843,-7.2
ZINC000000000843,-7.2
ZINC000000000843,-7.2
ZINC000000000843,-7.1
ZINC000000000843,-7.3
ZINC000000000843,-7.1
ZINC000000000843,-6.7
ZINC000000000843,-7.2
ZINC000000000843,-6.6
ZINC000000000843,-7.1
ZINC000000000850,-7.5
ZINC000000000850,-7.4
ZINC000000000850,-7.6
ZINC000000000850,-7.2
ZINC000000000850,-7.3
ZINC000000000850,-7.4
ZINC000000000850,-7.0
ZINC000000000853,-7.6
ZINC000000000853,-7.4
ZINC000000000853,-7.4
ZINC000000000853,-7.4
ZINC000000000853,-7.4
ZINC000000000853,-7.3
ZINC000000000853,-7.0
ZINC000000000853,-6.7
ZINC000000000855,-8.1
ZINC000000000855,-7.8
ZINC000000000855,-8.1
ZINC000000000855,-8.4
ZINC000000000856,-8.4
ZINC000000000856,-8.4
ZINC000000000856,-8.4
ZINC000000000856,-8.4
ZINC000000000856,-8.5
ZINC000000000856,-8.4
ZINC000000000856,-8.4
ZINC000000000856,-8.4
ZINC000000000856,-8.4
ZINC000000000856,-8.4
ZINC000000000856,-8.4
ZINC000000000856,-8.2
ZINC000000000856,-8.4
ZINC000000000856,-8.4
ZINC000000000882,-5.0
ZINC000000000903,-8.8
ZINC000000000903,-8.6
ZINC000000000905,-5.7
ZINC000000000920,-6.4
ZINC000000000922,-6.3
ZINC000000000928,-9.3
ZINC000000000931,-8.6
ZINC000000000931,-8.3
ZINC000000000941,-7.1
ZINC000000000941,-7.0
ZINC000000000941,-7.0
ZINC000000000941,-7.1
ZINC000000000941,-7.0
ZINC000000000941,-7.0
ZINC000000000949,-6.7
ZINC000000000973,-8.9
ZINC000000000973,-8.8
ZINC000000001011,-6.0
ZINC000000001016,-8.2
ZINC000000001016,-8.2
ZINC000000001021,-8.0
ZINC000000001028,-4.5
ZINC000000001028,-4.4
ZINC000000001028,-4.4
ZINC000000001041,-5.4
ZINC000000001041,-5.4
ZINC000000001041,-5.5
ZINC000000001041,-5.5
ZINC000000001041,-5.5
ZINC000000001041,-5.4
ZINC000000001051,-7.8
ZINC000000001051,-7.3
ZINC000000001084,-5.6
ZINC000000001091,-5.1
ZINC000000001091,-5.3
ZINC000000001115,-7.2
ZINC000000001115,-7.0
ZINC000000001115,-6.8
ZINC000000001115,-7.0
ZINC000000001115,-7.1
ZINC000000001115,-7.0
ZINC000000001131,-7.0
ZINC000000001132,-6.0
ZINC000000001137,-8.5
ZINC000000001137,-8.5
ZINC000000001137,-8.6
ZINC000000001145,-8.2
ZINC000000001148,-8.4
ZINC000000001148,-8.7
ZINC000000001148,-8.7
ZINC000000001148,-8.5
ZINC000000001175,-7.6
ZINC000000001175,-7.9
ZINC000000001195,-8.5
ZINC000000001195,-8.6
ZINC000000001195,-8.5
ZINC000000001207,-8.0
ZINC000000001207,-7.9
ZINC000000001207,-7.9
ZINC000000001207,-8.0
ZINC000000001246,-9.2
ZINC000000001246,-8.5
ZINC000000001246,-9.1
ZINC000000001246,-9.1
ZINC000000001246,-9.1
ZINC000000001246,-9.1
ZINC000000001246,-9.0
ZINC000000001246,-8.8
ZINC000000001246,-8.6
ZINC000000001261,-8.8
ZINC000000001261,-8.8
ZINC000000001266,-6.7
ZINC000000001266,-6.7
ZINC000000001267,-6.4
ZINC000000001267,-6.4
ZINC000000001267,-6.6
ZINC000000001267,-6.3
ZINC000000001267,-6.5
ZINC000000001267,-6.4
ZINC000000001271,-7.0
ZINC000000001271,-7.1
ZINC000000001271,-7.2
ZINC000000001271,-6.9
ZINC000000001271,-7.1
ZINC000000001271,-7.0
ZINC000000001271,-7.0
ZINC000000001271,-7.1
ZINC000000001281,-7.8
ZINC000000001281,-7.9
ZINC000000001281,-7.8
ZINC000000001281,-7.8
ZINC000000001283,-9.0
ZINC000000001288,-6.0
ZINC000000001288,-5.6
ZINC000000001288,-5.5
ZINC000000001288,-5.4
ZINC000000001290,-7.6
ZINC000000001290,-7.6
ZINC000000001290,-7.5
ZINC000000001290,-7.7
ZINC000000001291,-6.6
ZINC000000001291,-5.8
ZINC000000001291,-6.4
ZINC000000001291,-6.7
ZINC000000001291,-6.5
ZINC000000001299,-6.4
ZINC000000001299,-6.0
ZINC000000001300,-7.7
ZINC000000001300,-7.8
ZINC000000001300,-7.8
ZINC000000001300,-7.8
ZINC000000001300,-7.8
ZINC000000001300,-7.6
ZINC000000001317,-6.7
ZINC000000001317,-7.2
ZINC000000001317,-6.8
ZINC000000001317,-7.3
ZINC000000001317,-6.8
ZINC000000001317,-6.8
ZINC000000001317,-6.8
ZINC000000001317,-6.9
ZINC000000001317,-6.7
ZINC000000001317,-6.7
ZINC000000001317,-6.8
ZINC000000001317,-6.8
ZINC000000001317,-6.7
ZINC000000001317,-6.7
ZINC000000001317,-6.8
ZINC000000001317,-7.4
ZINC000000001320,-7.5
ZINC000000001320,-7.4
ZINC000000001320,-7.4
ZINC000000001322,-8.7
ZINC000000001329,-7.3
ZINC000000001329,-8.0
ZINC000000001329,-7.9
ZINC000000001329,-7.8
ZINC000000001331,-8.6
ZINC000000001331,-7.9
ZINC000000001331,-8.0
ZINC000000001341,-5.6
ZINC000000001341,-5.5
ZINC000000001370,-8.2
ZINC000000001370,-8.7
ZINC000000001382,-7.5
ZINC000000001382,-7.3
ZINC000000001382,-7.6
ZINC000000001382,-7.5
ZINC000000001382,-7.4
ZINC000000001382,-7.6
ZINC000000001382,-7.6
ZINC000000001382,-6.8
ZINC000000001385,-5.7
ZINC000000001385,-5.4
ZINC000000001385,-5.6
ZINC000000001385,-5.5
ZINC000000001402,-8.1
ZINC000000001402,-8.6
ZINC000000001402,-8.6
ZINC000000001402,-8.6
ZINC000000001408,-6.8
ZINC000000001408,-6.7
ZINC000000001408,-6.7
ZINC000000001408,-6.4
ZINC000000001411,-6.3
ZINC000000001411,-6.3
ZINC000000001427,-9.1
ZINC000000001427,-9.0
ZINC000000001427,-9.0
ZINC000000001441,-8.4
ZINC000000001441,-7.7
ZINC000000001441,-8.1
ZINC000000001441,-8.4
ZINC000000001460,-7.8
ZINC000000001460,-8.3
ZINC000000001460,-7.8
ZINC000000001460,-8.3
ZINC000000001464,-7.3
ZINC000000001464,-7.3
ZINC000000001464,-7.5
ZINC000000001464,-7.3
ZINC000000001473,-8.7
ZINC000000001473,-8.7
ZINC000000001505,-6.1
ZINC000000001505,-6.3
ZINC000000001505,-5.8
ZINC000000001505,-6.3
ZINC000000001505,-6.2
ZINC000000001505,-5.5
ZINC000000001505,-5.5
ZINC000000001505,-5.6
ZINC000000001505,-5.4
ZINC000000001522,-7.2
ZINC000000001547,-9.4
ZINC000000001554,-6.1
ZINC000000001587,-7.8
ZINC000000001587,-7.9
ZINC000000001587,-7.8
ZINC000000001587,-7.9
ZINC000000001590,-5.3
ZINC000000001600,-7.4
